name|type_id|address|district_id|latitude|longitude|no_telp|email|url|kdppk
Puskesmas Bungursari|2|Jl. Raya Bungursari No. 124, Kec. Bungursari|1|-6.4781807|107.4798094|08111199086|pkmbungursari@gmail.com|instagram.com/uptdpkmbungursari/|10130202
Puskesmas Campaka|2|Jala Raya Sadang Subang No.KM.1, Campaka, Kec. Campaka, Kabupaten Purwakarta|5|-6.5057249|107.4865582|087879607478|pkm.campaka@gmail.com|instagram.com/puskesmas.campaka/|10130201
Puskesmas Mulyamekar|2|Jl. Veteran no 246, Kec. Babakancikao|2|-6.5153411|107.4539905|081289949977|pkm.mulyamekar01@gmail.com|instagram.com/pkm.mulyamekarpwk/|10130104
Puskesmas Cibatu|2|Jl. Raya Cibatu Km 15, Kec. Cibatu|8|-6.5005531|107.5343988|087721281325|dkkpwkpkmcibatu76@gmail.com|instagram.com/puskesmascibatupurwakarta/|10131401
Puskesmas Pasawahan|2|Jl. Terusan Kapt Halim No.105 RT 01/01 Desa Paswahan, Kec. Pasawahan|9|-6.5866871|107.4673251|081395935657|ysandruno@gmail.com|instagram.com/puskesmas_pasawahan/|10131701
Puskesmas Pondoksalam|2|Jl. Terusan AMD no.2 Desa Galudra Kec.Pondoksalam|6|-6.6215361|107.4876442|081929880177|pkmponsal@gmail.com|instagram.com/pkmponsal/|10131601
Puskesmas Wanayasa|2|Jl. Raya Bakti No. 10, Kec. Wanayasa|10|-6.6812405|107.5572655|0264620528|layanan@puskesmaswanayasa.com|instagram.com/pkmwanayasa/|10130501
Puskesmas Kiarapedes|2|Jl. Raya Kiarapedes no.2 Km 28, Kec. Kiarapedes|11|-6.6542933|107.5685414|087879865914|registerpkm.krpds@gmail.com|instagram.com/puskesmaskiarapedes/|10131701
Puskesmas Bojong|2|Jl. Raya Bojong Km 31, Kec. Bojong|12|-6.7092955|107.5008838|081809677068|ihsanabdulgani5@gmail.com|instagram.com/uptpuskesmasbojong|10130602
Puskesmas Darangdan|2|Jl. Raya Darangdan, Kec. Darangdan|13|-6.6859875|107.4309612|0264620118||instagram.com/puskesmasdarangdan/|10130601
Puskesmas Sukatani|2|Jl. Raya Sukatani Km 12, Kec. Sukatani|14|-6.6155998|107.4067241|0218741282|imanajiy@gmail.com|instagram.com/puskesmas_sukatani_purwakarta/|10130704
Puskesmas Plered|2|Jl. Warungkandang RT 007/RW 002, Ds. Sindangsari, Kec. Plered|4|-6.6459213|107.3836575|081912585050|pkmplered@yahoo.co.id|instagram.com/uptdpuskesmasplered/|10130701
Puskesmas Tegalwaru|2|Ds. Batutumpang, Kec. Tegalwaru|15|-6.6460179|107.3539696|087826544505|uptdpuskesmas.tegalwaru@gmail.com|instagram.com/pkmtegalwaru/|10130702
Puskesmas Maniis|2|Jl. Raya Palumbon, Kec. Maniis|16|-6.6953512|107.3207738|0818201050|puskesmas_maniis16@yahoo.com|instagram.com/puskesmasmaniis/|10130703
Puskesmas Sukasari|2|Jl. Raya Kertamanah, Kec. Sukasari|17|-6.5385059|107.2952257|089507779240 |Drfizh.pkm@gmail.com|instagram.com/puskesmassukasari/|10131501
Klinik Harisma Dewi|3|Jl. Kapten Halim No.151 Kelurahan Nagrikidul|3|-6.5658705|107.4525277|02648227757|siska_kartikaranie@yahoo.com|instagram.com/klinikharismadewi/|0130U072
Klinik Wijayakusumah|3|jl re martadinata no.66 kel nagri kidul,rt 43/02 kel.nagri kidul.kec,purwakarta|3|-6.5568737|107.4439136|082111405301|wkusumah41@gmail.com||0130U059
Klinik Waluya|3|Jl. Laks. Laut RE. Martadinata No.60, 41151, Nagri Tengah, Kec. Purwakarta|3|-6.5560931|107.4438616|085117099265|tomizahra1989@gmail.com||0130U063
Klinik Bhakti Husada|3|Jl.Mr.Dr Kusuma Atmaja no 07 purwakarta|3|-6.5553665|107.4433455|081350898670|klinikbhaktihusada@gmail.com|klinikbhp.com/|0130B007
Klinik Rafina Medical Centre|3|Jl.Basuki Rahmat,Gg. Mayor Kosim no.6 rt003/rw001, Sindangkasih,Purwakarta 41112|3|-6.5613145|107.4415945|082118192662|najmahsharahil@gmail.com|id4787168-klinik-rafina-medical-center.contact.page/|1013U050
Klinik Nur Amalia|3|BASUKI RAHMAT NO.91 RT 08 RW 0|3|-6.5606178|107.4391522|02648391060|kliniknuramalia@gmail.com|instagram.com/kliniknuramaliapwk/|0130B035
Klinik Nabila|3|Jln Ipik Gandamanah No 127 Rt 01 Rw 08 Ciseureuh Purwakarta|3|-6.5183745|107.4676259|085846561614|purwakartakliniknabila@gmail.com|instagram.com/klinik.nabila/|0130B019
Klinik Sadang Medika|3|JL. VETERAN, NO. 180|3|-6.5205692|107.4490972|085213045029|sadangmedica@gmail.com||0130U062
Klinik Citalang Medika|3|Kp. Citalang RT/RW 05/01, Desa citalang, Kec. purwakarta|3|-6.5420854|107.4642813|081383218821|citalangmedika@yahoo.com||0130B024
Klinik Munjul Jaya|3|Jl. Ipik Gandamanah No.206|3|-6.5342905|107.4549809|0264212451|munjul_pratama@yahoo.co.id|id1242466-klinik-munjul-jaya.contact.page/|0130U061
Klinik Frieska Medika|3|Jl.Margaluyu rt 14/ rw 04 kelurahan munjul jaya Purwakarta 41117 Jawa Barat|3|-6.5325793|107.4654256|085659366418|frieskamedika@gmail.com||0130B020
Klinik Bhayangkara Polres Purwakarta|3|Jl Veteran no 408 Purwakarta|3|-6.5268331|107.4474167|081294590525|klinikrespwk@gmail.com|instagram.com/sidokkesrespwk/|1300003
Klinik Dona & Nugroho MC|3|Jl. Ipik Gandamanah No : 28. Ciseureuh. Purwakarta|3|-6.5195386|107.4641186|081223313545|donanugrohomc@gmail.com|id4840015-klinik-dona-nugroho-mc.contact.page|1013U051
Klinik Mahkota|3|jl sadang subang no 47 desa ciseureuh kecamatan purwakarta|3|-6.5103398|107.4625281|087834290139|drasepmahkota@gmail.com|id3370447-laboratorium-klinik-mahkota.contact.page|0130B022
Klinik Kimia Farma Munjul|3|Jl. Ipik Gandamanah Rt 011/003 Kecamatan MunjulJaya|3|-6.5302315|107.4572555|081380077957|klinik.kfmunjul@gmail.com||0130B026
Klinik SPV II|3|Jl. Ibrahim Singadilaga No.101, RT01/RW01|3|-6.5410225|107.4410374|08111123163|oncalldoc86@gmail.com||0130B009
Klinik Meliasari|3|Jln taman pahlawan no 136 rt 17 rw 07|3|-6.5323155|107.4372771|082310679617|meliasariklinik27@gmail.com||0130B030
Klinik Pahlawan|3|Jl taman pahlawan no 56a desa nagrikaler purwakarta|3|-6.5383203|107.4411188|085624285411|apotek.pahlawan@gmail.com||0130U068
Klinik As-Salam|3|JL BERINGIN NO. 01 RT/RW 072/080 KEL. NAGRI KALER |3|-6.5380773|107.4459615|0264201918|klinikassalam165@gmail.com||1013U043
Klinik Kimia Farma Purwakarta|3|Jl. Veteran No. 97 Nagri Kaler Kec. Purwakarta|3|-6.5405345|107.4438849|081295562802|klinikkfveteran@gmail.com||0130B004
Klinik Nabilah 2|3|Jl. Veteran No. 45 A|3|-6.5374503|107.4443376|02648224528|kliniknabilah2@gmail.com||0130B013
Klinik Annisa|3|Jln. Industri no 343 Maracang|2|-6.5197318|107.4325261|02648222596|klinik.annisa44@gmail.com|instagram.com/klinikannisapwk/|1013U040
Klinik Rakha Medical Center|3|Jl. Industri KM 9 Warung Buah RT 4 RW 2 Desa Hegarmanah|2|-6.5014736|107.4135836|087820600656|rakhamedical@gmail.com||0130B040
Klinik Indra Medika|3|JL. CIGANEA NO.01 RT.01/ RW.01 DESA MEKARGALIH JATILUHUR PURWAKARTA|7|-6.5620937|107.4309115|02649125800|klinikindramedika@gmail.com||0130B047
Klinik Annisa 2|3|Jl. Pramuka no 107 bunder Jatiluhur Purwakarta|7|-6.5599109|107.4299785|02648220201|klinikannisapurwakarta@gmail.com|klinikannisapurwak.wixsite.com/mysite|0130U057
Klinik Tazakka|3|Jl Pramuka kp. Cikadu RT 018 RW 006 desa bunder jKec. atiluhur Kab. purwakarta|7|-6.5477282|107.4265468|08172829877|dsupriatna68@yahoo.co.id|instagram.com/klinik.tazakka/|0130U064
Klinik Munjul Jaya 2|3|Jl. Pramuka No.21 A Ds.Bunder|3|-6.5558748|107.4294257|08990721025|02648624018||0130B042
Klinik Adzaka Medika|3|Kp. Colobong RT 011 RW 004 Desa Parakanlima|7|-6.5958348|107.4445165|085281828181|klinikadzakamedikaofficial@gmail.com||0130B050
Klinik Tali Baju|3|Jl.lurahkawi kp talibaju rt 02 rw 02|7|-6.5073793|107.3932159|083829020309|klinik.talibaju1@gmail.com|instagram.com/tali_baju.klinik/|0130B043
Klinik Puja Ananda|3|Raya Sadang No.472 KEL. CIWANG|1|-6.5087212|107.4604517|082227377700|klinikpujaananda@gmail.com|instagram.com/klinik.pujaananda/|0130U056
Klinik Bhakti Sentosa|3|JL.RAYA SADANG NO.29 KEL. CIWA|1|-6.5104334|107.4626302|082246743366|klinikbhaktisentosa@gmail.com||0130U058
Klinik Nur Afiyah|3|Ruko Bukit Kencana Residence Blok C2 No. 5-6 Jl. Raya Cibening Bungursari, Purwakarta 41181|1|-6.4863701|107.4805054|02648302086|kliniknurafiyah01@gmail.com|instagram.com/klinik.nurafiyah/|0130B014
Klinik Miracle|3|Komplek Aneka Jasa, Jl. Kota Bukit Indah Raya Blok A2 No. 9-10, Dangdeur, Kec. Bungursari, Kabupaten Purwakarta|1|-6.4500294|107.4575613|085794347543|mec.kotabukitindah@gmail.com||0130B006
Klinik Putra Mandiri|3|Jl. Raya Cinangka No.5 RT 007/ RW 004. Desa Cinangka. Kecamatan Bungursari|1|-6.4347281|107.4694985|0264319199|Klinikputramandiriraharja74@gmail.com|instagram.com/klinikputramandiri/|0130B015
Klinik Bersalin Nabila Rahayu|3|Jl. Raya Cikopo, Cikopo, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41374|1|-6.4272976|107.4809903|0895604860639|kliniknabilarahayu@gmail.com|instagram.com/kliniknabilarahayu/|0130B012
Klinik Radiatie|3|Jl. Raya Cikopo No.106, Cikopo, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181 |1|-6.4275832|107.4811467|082240247130|dianrianto739@gmail.com|id4845350-kinik-radiatie.contact.page|0130U060
Klinik Sejati|3|Kp.ciseureuh rt 04/02 desa cibodas |1|-6.4156541|107.4968905|085691813817|iput.luchu@gmail.com|instagram.com/klinik.sejati/|0130U073
Klinik Bhakti Pertiwi|3|Kp Cimahi RT 09 RW 04 Des Cimahi kec campaka|5|-6.4643073|107.5191307|081909373399|klinikbhaktipertiwi@gmail.com|instagram.com/klinikbhaktipertiwi/|0130B034
Klinik Campaka|3|Jl. Raya Sadang Subang KM1, Kec. Campaka |5|-6.5120206|107.4796637|02648282151|pkm.campaka@gmail.com|instagram.com/cempaka_medicalcenter/|0130U065
Klinik Ravina Medika|3|jln raya Cipinang km 17 desa cipinang rt 08 rw 04 kecamatan cibatu|8|-6.5026455|107.5512855|087779618488|ravina.medika@gmail.com|instagram.com/ravinamedika/|0130B011
Klinik Haikal|3|Jl. Raya Cibatu No.6 km.15, Cibatu, Kec. Cibatu, Kabupaten Purwakarta|8|-6.5000755|107.5348155|0264210580|rbhaikal064@gmail.com|instagram.com/klinikhaikal/|0130U074
Klinik Mulya Medical Center|3|Jl. Kapten Halim No.18, Pasawahankidul, Kec. Pasawahan, Kabupaten Purwakarta|9|-6.5865675|107.4695432|081210085131|klinik_mulyamedicalcentre@yahoo.co.id||0130B017
Klinik Rama & Shita|3|Jl. Terusan Kapten Halim, Desa Sawah Kulon, RT 001 RW 001 No. 139, Kecamatan Pasawahan|9|-6.5872024|107.4660848|085940916613|klinikramashita17@gmail.com|instagram.com/klinikramashita_purwakarta/|0130B018
Klinik Asri Aufa|3|JL. Raya Wanayasa Rt 008/003, Desa/Kelurahan Sukadami Kecamatan Wanayasa|10|-6.6398655|107.5229355|02648462377|asriaufa2022@gmail.com||0130B051
Klinik Pamitran|3|Kp. Cibuntu Rt. 005 Rw. 002 Desa Cibuntu Kecamatan Wanayasa|10|-6.6894254|107.5499124|081210009505|klinikpamitranwanayasa@gmail.com|instagram.com/usg_klinikpamitran/|0130B046
Klinik Bhakti Mulya|3|Kp. Bunisari RT 09 RW 04 Desa Bojong Barat|12|-6.7084803|107.5029866|087779749004|bhaktimulia.bm@gmail.com|instagram.com/klinikbhaktimulya/|0130U067
Klinik Almeera|3|Jl. Raya Sawit RT 06/02 Ds. Sawit|13|-6.6937755|107.4369355|085951642032|klinikalmeeramedika19@gmail.com|instagram.com/almeeramedika/|0130B039
Klinik Siaga Asri Cianting|3|Jalur Cikampek - Padalarang No.16, Cianting, Kec. Sukatani, Kabupaten Purwakarta|14|-6.6379137|107.4065474|02648280018|asri.cianting@gmail.com|instagram.com/klinikasricianting/|0130B005
Klinik As Shofa|3|kp. Cimuntuk RT 01 RW 01 Desa Sukatani Kec. Sukatani|14|-6.6128943|107.4088844|02648315690|asshofa.purwakarta@gmail.com|instagram.com/klinikasshofa/|0130B021
Klinik Budi Bhakti|3|Jl. Raya Plered No.101 A, Plered, Kec. Plered, Kabupaten Purwakarta|4|-6.6398008|107.3911154|0264270320|ihimawan07@gmail.com|instagram.com/klinikasshofa/|1013U038
Klinik Kamila|3|Pamoyanan, Kec. Plered, Kabupaten Purwakarta|4|-6.6464483|107.3698541|026408777977|klinikkamila20@gmail.com|instagram.com/klinikkamilaplered/|0130B008
Klinik Asri Kamil Medika|3|Jl. Raya Bunigeulis desa Citeko kecamatan darangdan|4|-6.6506052|107.3648979|087731607111|kamilmedika86@gmail.com||0130B045
Klinik Aldiray Medika|3|Jalan Raya, Cijaya, Kec. Campaka, Kabupaten Purwakarta, Jawa Barat 41181|5|-6.497845|107.5012185|02648282159|||0130B001
Klinik Mediska Purwakarta|3|Jln. Ipik Gandamanah, Ds. Ciseureuh, Kec. Purwakarta Kab. Purwakarta|3|-6.5165525|107.4698043|085217782066||instagram.com/klinikmedikasehat/|0130B010
Klinik Ferren|3|Jl. Taman Pahlawan No.59, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119|3|-6.539037|107.441618|081288129898|klinikferren@gmail.com|instagram.com/klinikpratamaferren59/|0130B029
Rumkitban 03.08.03 Purwakarta|3|Jl. K.K Singawinata No.96, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114|3|-6.5553565|107.4463878|0264200345|instagram.com/rumkitban.purwakarta/|instagram.com/rumkitban.purwakarta/|01300002
Klinik Utama dr. Ueng|4|Jl. Terusan ibrahim singadilaga no 207 rt 026 rt 003 nagri kaler purwakarta|3|-6.5356304|107.4410435|0264201995|kdu_207@yahoo.com|instagram.com/klinik_dr.ueng/|0130S002
Klinik Utama Shanaya|4|Kp. Asem gede RT/RW 018/008, Kel. Purwamekar, Kec. Purwakarta|3|-6.5310791|107.4367892|085222313233|klinikshanaya@gmail.com|instagram.com/klinikutamashanaya/|0130S004
Klinik Utama Asri Kemala Dewi|4|Jl. Veteran, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115|3|-6.5328396|107.4456344|0264201472|instagram.com/klinikasrikemaladewi/|instagram.com/klinikasrikemaladewi/|0130S003
